OTU ID,Control-0-1,Control-0-2,Control-0-3,Control-3-1,Control-3-2,Control-3-3,Control-7-1,Control-7-2,Control-7-3,Control-15-1,Control-15-2,Control-15-3,Control-21-1,Control-21-2,Control-21-3,Control-30-1,Control-30-2,Control-30-3,PGP41-0-1,PGP41-0-2,PGP41-0-3,PGP41-3-1,PGP41-3-2,PGP41-3-3,PGP41-7-1,PGP41-7-2,PGP41-7-3,PGP41-15-1,PGP41-15-2,PGP41-15-3,PGP41-21-1,PGP41-21-2,PGP41-21-3,PGP41-30-1,PGP41-30-2,PGP41-30-3,PGP5-0-1,PGP5-0-2,PGP5-0-3,PGP5-3-1,PGP5-3-2,PGP5-3-3,PGP5-7-1,PGP5-7-2,PGP5-7-3,PGP5-15-1,PGP5-15-2,PGP5-15-3,PGP5-21-1,PGP5-21-2,PGP5-21-3,PGP5-30-1,PGP5-30-2,PGP5-30-3,taxonomy
OTU2090,3,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,8,7,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,8,3,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2091,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Bacteroidetes; c__Ignavibacteria; o__Kryptoniales; f__BSV26; g__norank; s__uncultured bacterium
OTU2092,0,1,0,1,0,1,2,0,1,2,3,2,1,2,0,1,0,1,1,0,0,1,1,1,0,5,1,2,3,0,1,2,1,1,2,2,1,2,2,1,2,1,1,4,0,0,1,0,0,1,1,0,0,1,d__Bacteria; p__Chloroflexi; c__OLB14; o__norank; f__norank; g__norank
OTU2093,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,d__Bacteria; p__Acidobacteria; c__Subgroup 22; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2094,0,1,0,3,0,1,1,1,0,1,1,1,0,0,3,1,2,1,0,0,1,1,3,1,1,0,1,2,1,1,0,0,0,1,3,0,1,1,0,0,0,2,2,1,0,0,3,5,0,1,2,4,5,3,d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41; s__uncultured bacterium
OTU2095,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2096,1,0,0,0,0,0,2,0,1,3,0,1,2,2,3,3,0,1,0,0,0,0,2,1,0,2,1,2,2,1,2,1,2,2,4,1,2,0,0,0,0,1,0,4,2,0,3,1,2,0,7,0,2,0,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured bacterium
OTU2097,1,1,1,0,2,0,2,0,1,1,2,1,2,1,0,0,1,2,3,1,2,2,0,1,0,1,1,1,1,2,3,0,0,2,2,2,0,2,1,0,2,1,1,1,2,0,0,0,1,1,2,0,1,2,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Anaeromyxobacter; s__uncultured bacterium
OTU2098,2,2,1,1,2,0,0,1,0,4,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,3,8,1,2,1,2,1,0,1,1,0,0,3,1,0,3,1,0,1,0,3,0,0,0,0,0,1,0,1,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus
OTU2099,1,1,1,2,2,0,1,0,0,2,0,2,2,4,1,0,1,0,1,1,0,0,0,1,0,0,1,0,2,3,1,3,1,0,2,0,1,1,1,1,2,1,2,2,3,3,2,0,0,3,1,0,0,3,d__Bacteria; p__Bacteroidetes; c__Rhodothermia; o__Rhodothermales; f__Rhodothermaceae; g__Rubrivirga
OTU2100,1,0,1,2,0,1,2,2,0,0,2,1,1,0,1,0,1,0,1,2,3,0,0,3,1,1,1,0,5,1,0,0,1,0,0,0,1,3,0,0,0,4,3,1,0,0,1,3,0,0,1,2,3,1,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured Acidobacteria bacterium
OTU2101,2,1,2,1,0,1,1,0,0,0,2,1,2,1,0,1,1,2,0,2,6,0,0,1,1,2,0,3,2,2,1,0,1,2,0,0,4,3,2,0,0,1,1,0,0,0,0,2,0,0,0,1,1,1,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured Acidobacteriales bacterium
OTU2102,2,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,0,0,3,0,0,1,3,0,0,1,3,3,0,2,1,0,5,1,0,3,4,1,0,1,0,0,1,2,1,2,3,0,0,0,9,1,0,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Anaerolinea; s__uncultured bacterium
OTU2103,7,6,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,1,0,0,2,0,0,0,0,1,1,0,1,1,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured bacterium
OTU2104,0,1,0,2,1,2,2,1,2,0,0,1,0,0,1,3,2,2,0,0,0,0,0,0,9,1,3,1,2,1,4,1,3,2,4,3,0,0,1,0,0,0,1,2,1,1,1,0,0,0,2,0,4,1,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Herbaspirillum
OTU2105,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,3,2,1,0,0,0,1,3,1,2,0,0,2,0,0,0,0,2,1,1,1,0,2,1,1,3,1,2,0,2,1,2,3,0,2,3,1,3,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured Acidobacteria bacterium
OTU2106,1,0,0,1,1,1,1,0,2,1,0,1,0,5,0,0,3,2,0,0,0,3,0,2,2,2,0,4,2,2,2,2,5,1,1,4,1,4,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae 1; g__Clostridium sensu stricto 10; s__uncultured bacterium
OTU2107,0,0,0,0,0,0,6,2,0,0,1,1,5,1,2,0,2,1,0,0,0,0,0,0,0,1,1,0,9,1,4,1,0,0,1,0,0,0,0,0,0,0,3,3,0,4,5,2,4,1,1,1,0,0,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS 17; g__norank; s__uncultured bacterium
OTU2108,1,3,3,0,1,0,0,0,0,2,0,0,1,4,1,0,0,0,7,1,2,2,0,0,1,1,0,3,0,0,0,0,0,1,0,3,1,1,1,1,0,0,2,0,1,2,0,1,0,0,0,1,1,2,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Nannocystaceae; g__uncultured
OTU2109,3,1,2,2,0,2,0,0,0,3,0,2,2,1,2,2,0,0,1,1,0,2,1,1,0,1,1,1,0,1,3,0,3,0,0,0,1,2,0,1,1,1,0,1,1,2,1,1,0,1,0,0,3,0,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__norank; g__norank; s__uncultured bacterium
OTU2110,6,6,3,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,5,2,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,7,5,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__uncultured bacterium
OTU2111,3,5,5,1,2,1,2,2,1,2,0,0,0,0,0,2,0,0,2,2,3,1,0,1,1,0,0,3,1,1,0,0,1,0,1,0,3,2,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27 clade; s__uncultured bacterium
OTU2112,1,1,0,1,0,1,1,2,0,0,9,0,2,0,0,3,0,4,1,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,4,0,0,5,0,0,0,0,1,2,0,1,0,1,1,0,d__Bacteria; p__Planctomycetes; c__Pla4 lineage; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2113,0,1,0,0,1,2,1,1,1,2,2,1,4,1,4,1,2,1,1,0,0,0,0,1,1,0,0,1,2,0,1,3,1,1,1,0,1,0,1,2,1,6,3,1,1,0,3,2,1,1,0,1,1,0,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__norank; s__uncultured bacterium
OTU2114,0,2,6,1,0,1,1,1,0,1,1,1,2,0,0,2,0,1,0,2,1,0,1,2,0,0,0,0,0,2,1,0,0,0,1,0,5,2,2,0,0,0,0,2,0,2,1,4,0,1,1,5,8,1,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__RBG-13-54-9; f__norank; g__norank; s__uncultured bacterium
OTU2115,3,5,4,1,2,0,1,1,1,2,0,0,1,0,4,1,0,0,3,1,0,0,0,0,1,0,2,1,2,3,1,0,1,0,0,1,1,2,3,0,2,0,2,2,1,1,0,0,1,1,2,2,2,1,d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3); g__Candidatus Solibacter; s__uncultured bacterium
OTU2116,2,0,1,1,0,2,0,2,0,0,1,2,1,1,0,1,1,1,1,1,4,0,0,1,0,1,0,2,1,2,3,0,0,2,0,0,1,1,3,0,0,0,1,1,1,0,2,3,0,2,0,6,4,0,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2117,2,2,0,0,1,0,2,2,2,2,0,2,1,3,0,1,2,1,0,5,1,1,0,1,1,0,0,1,0,2,3,2,2,0,3,1,3,1,3,2,1,1,1,1,1,0,1,0,0,1,0,0,3,1,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured bacterium
OTU2118,8,1,6,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,3,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,6,5,0,0,2,1,0,0,0,0,0,0,1,0,1,3,0,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Anaerolinea
OTU2119,1,2,2,1,0,0,3,0,4,1,0,0,2,3,0,0,0,0,4,5,0,2,1,0,0,1,1,1,0,1,1,0,3,0,1,2,1,0,2,1,1,1,2,1,2,0,1,0,2,0,2,0,0,0,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium
OTU2120,0,2,1,1,0,1,2,0,2,0,1,0,0,0,1,1,0,0,2,2,0,1,1,1,0,0,0,1,0,3,1,1,1,2,3,3,2,2,1,2,1,0,0,3,0,3,1,0,1,1,0,1,0,7,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15; f__norank; g__norank; s__uncultured bacterium
OTU2121,3,1,2,3,0,0,0,2,0,0,2,0,1,1,1,1,3,0,2,7,2,0,0,3,1,1,0,3,0,2,0,1,0,0,2,1,1,1,2,0,0,0,1,1,0,2,0,7,1,3,2,1,2,0,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2122,1,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,2,3,2,9,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,9,10,3,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae; g__Lentimicrobium
OTU2123,0,0,0,2,4,1,2,1,2,1,2,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,2,2,0,2,1,2,1,1,1,1,2,0,0,1,0,1,1,0,0,2,3,2,1,3,2,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__uncultured; s__uncultured bacterium
OTU2124,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured bacterium
OTU2125,0,0,0,0,0,0,0,2,0,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,2,4,2,1,1,5,2,1,4,3,2,7,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,1,10,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__metagenome
OTU2126,2,3,3,1,1,1,0,0,0,0,1,1,1,0,0,2,1,0,4,4,2,1,0,0,0,2,1,0,0,1,0,0,0,1,2,1,2,3,1,0,2,2,2,0,1,0,1,0,0,1,0,1,2,0,d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__norank; g__norank; s__uncultured bacterium
OTU2127,0,0,0,0,3,1,2,0,3,0,2,2,0,1,2,0,0,1,0,2,1,1,3,4,1,0,2,2,1,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,3,1,2,0,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales; f__uncultured; g__norank; s__uncultured bacterium
OTU2128,0,0,0,1,0,1,4,1,0,1,1,0,0,1,2,4,5,0,0,1,1,0,0,6,2,1,1,2,3,2,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,5,2,1,d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2129,0,0,1,4,0,1,2,0,0,1,3,2,1,0,2,1,2,1,0,2,0,0,2,2,0,2,0,1,1,1,0,2,1,2,1,1,2,0,0,1,0,0,0,2,0,1,2,0,1,0,1,4,3,2,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2130,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0,5,2,2,1,0,2,0,1,0,1,0,0,0,0,1,0,2,0,26,5,0,d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__ADurb.Bin063-1
OTU2131,1,1,0,0,1,3,0,1,0,2,5,1,0,1,1,0,0,1,4,3,1,1,1,0,1,2,0,0,2,1,1,1,1,0,3,1,2,0,0,0,0,1,1,2,1,0,3,0,1,0,0,2,2,2,d__Bacteria; p__Rokubacteria; c__NC10; o__Rokubacteriales; f__norank; g__norank; s__uncultured bacterium
OTU2132,1,3,3,0,0,0,0,1,1,3,0,1,1,1,1,3,1,0,3,2,1,0,0,0,0,0,0,1,0,2,0,0,1,1,1,4,2,0,0,0,1,1,0,0,1,1,0,0,2,3,2,2,4,1,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__uncultured bacterium
OTU2133,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured
OTU2134,1,7,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,3,4,2,0,0,0,0,2,0,0,2,0,0,0,0,1,1,2,4,2,3,1,0,0,1,0,1,1,0,0,0,0,1,3,2,0,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes vadinHA17; g__norank
OTU2135,0,1,1,1,1,2,2,0,2,1,1,1,0,0,1,0,1,5,0,0,0,2,1,1,4,1,0,3,0,1,0,0,3,1,1,1,1,0,2,1,2,1,0,2,1,1,1,0,0,2,1,1,0,2,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__uncultured; f__norank; g__norank; s__uncultured bacterium
OTU2136,0,7,1,0,0,0,0,1,0,3,0,0,2,2,1,0,2,0,1,3,0,0,1,1,0,0,0,0,3,0,2,1,0,0,1,1,6,4,1,0,1,0,1,0,1,0,0,2,1,3,1,4,3,1,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidetes vadinHA17; g__norank
OTU2137,5,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,2,0,0,0,1,2,1,0,0,3,2,2,3,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodovibrionales; f__Fodinicurvataceae; g__uncultured
OTU2138,1,0,2,1,0,0,0,4,0,0,2,2,1,0,2,0,1,1,0,0,0,3,0,1,2,0,0,0,2,2,0,1,0,5,0,0,1,1,0,0,1,7,0,1,1,1,2,2,3,2,1,0,0,1,d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus Udaeobacter; s__uncultured bacterium
OTU2139,2,0,2,0,0,0,2,0,1,0,3,1,1,1,0,1,1,2,0,1,1,0,0,2,2,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,2,0,5,1,0,2,1,3,2,0,2,4,2,1,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank
OTU2140,4,1,0,1,2,1,0,0,0,0,0,1,1,3,0,0,0,0,4,2,1,0,1,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,7,2,0,0,2,2,1,2,1,1,1,3,0,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Achromobacter
OTU2141,0,0,1,2,1,0,0,1,0,2,3,1,2,1,0,1,1,2,0,0,1,1,0,1,1,1,1,0,0,0,1,3,1,2,6,1,3,2,1,0,0,0,1,0,1,0,1,0,0,0,3,2,4,1,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__uncultured; s__uncultured bacterium
OTU2142,2,2,2,0,1,1,0,2,0,1,1,1,0,0,0,1,3,0,0,0,1,5,0,0,2,1,0,3,2,0,0,3,1,0,3,2,1,0,1,3,1,0,2,1,3,2,1,0,1,1,0,2,2,0,d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia; s__metagenome
OTU2143,3,4,3,1,1,0,0,0,2,3,0,1,0,3,1,2,1,1,3,4,1,0,1,1,0,0,2,0,0,1,0,3,1,2,0,1,1,2,3,1,0,0,0,0,1,1,0,0,0,0,2,2,1,0,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae; g__uncultured; s__uncultured bacterium
OTU2144,1,0,0,2,1,2,3,3,1,2,1,2,0,2,4,2,1,1,0,0,0,1,0,3,1,0,1,2,1,3,1,0,2,1,2,1,0,0,0,3,0,0,3,0,2,1,2,0,0,0,1,1,3,1,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus Alysiosphaera; s__uncultured bacterium
OTU2145,0,0,0,0,1,3,1,3,4,1,0,0,0,3,1,3,1,0,1,0,0,3,1,1,1,0,0,1,0,1,1,0,1,2,1,5,0,1,1,2,0,0,0,0,1,0,0,0,0,2,1,0,3,1,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Gracilibacteraceae; g__Lutispora; s__uncultured bacterium
OTU2146,1,0,0,1,0,1,1,2,0,2,2,0,2,0,4,2,0,0,0,0,3,0,0,1,1,1,0,3,0,0,1,0,1,0,0,1,3,2,2,0,1,5,2,0,0,2,1,0,0,3,0,3,3,1,d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101 soil group; g__norank; s__uncultured soil bacterium
OTU2147,0,1,1,1,2,0,1,2,2,1,2,0,2,0,1,1,0,1,0,0,0,0,0,1,3,2,1,2,0,4,1,2,3,1,0,3,1,0,0,1,0,2,0,2,0,1,2,0,3,0,1,1,1,0,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavitalea
OTU2148,5,6,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,6,5,2,1,0,2,0,1,0,0,1,0,1,0,1,0,0,0,2,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3); g__Paludibaculum; s__uncultured bacterium
OTU2149,1,0,0,3,1,0,2,1,2,2,2,0,0,2,2,1,1,0,0,0,0,2,3,1,2,0,0,1,0,1,1,3,2,2,2,1,3,0,4,2,0,1,1,1,0,0,1,2,1,1,0,0,0,2,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__norank; s__uncultured bacterium
OTU2150,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,1,2,1,2,2,4,0,0,0,3,0,1,1,0,2,2,0,1,1,2,1,1,2,1,0,2,1,0,0,1,0,2,1,0,0,0,0,4,2,d__Bacteria; p__GAL15; c__norank; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2151,0,0,0,2,1,0,0,0,1,1,4,2,0,0,0,0,1,0,0,0,2,0,0,1,2,1,2,2,1,2,2,2,3,0,3,1,0,1,0,0,2,2,0,3,1,0,1,1,1,3,0,1,2,4,d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2152,0,0,0,2,3,0,0,3,1,3,3,1,0,3,2,1,0,0,0,0,0,0,1,3,4,1,1,3,0,0,2,0,4,0,1,1,0,2,1,1,1,1,1,4,3,2,0,3,2,2,3,0,0,3,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__uncultured; s__uncultured bacterium
OTU2153,3,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter
OTU2154,0,1,3,2,0,2,0,3,0,3,4,1,1,0,1,1,1,1,1,0,0,1,1,2,1,2,0,0,1,4,0,1,0,3,0,0,3,0,1,0,1,2,1,2,0,0,2,4,4,1,1,0,1,2,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__norank; g__norank; s__uncultured bacterium
OTU2155,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,4,1,0,1,2,5,1,0,3,1,0,0,4,2,0,2,1,1,1,0,1,1,2,3,0,2,0,0,0,0,0,3,0,1,2,0,2,1,4,d__Bacteria; p__Acidobacteria; c__Subgroup 17; o__norank; f__norank; g__norank; s__uncultured Acidobacteria bacterium
OTU2156,5,3,1,0,1,0,0,0,0,0,1,4,0,3,3,0,1,2,4,1,3,1,1,1,1,0,1,3,1,2,2,1,1,0,1,4,0,0,1,2,1,0,2,1,0,3,0,1,0,1,0,2,3,3,d__Bacteria; p__Acidobacteria; c__Holophagae; o__Subgroup 7; f__norank; g__norank; s__uncultured bacterium
OTU2157,1,0,1,2,0,0,2,0,0,1,2,2,0,3,1,1,4,3,0,1,0,0,0,0,0,0,1,0,2,3,1,0,0,2,4,0,1,2,0,0,0,2,1,0,1,1,0,4,2,2,0,1,0,2,d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU2158,4,1,0,0,2,0,0,1,2,0,0,0,3,3,1,1,0,0,5,4,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,2,2,0,1,1,1,2,1,0,1,2,1,0,0,1,d__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__norank; s__uncultured bacterium
OTU2159,12,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Bacteroidetes; c__Ignavibacteria; o__Kryptoniales; f__BSV26; g__norank
OTU2160,1,1,3,0,0,0,1,1,2,0,1,0,1,1,3,2,1,2,0,1,2,0,0,0,0,0,1,2,0,1,3,0,1,2,1,1,1,2,3,1,0,0,2,2,0,0,1,1,2,2,1,1,1,1,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27 clade; s__uncultured bacterium
OTU2161,0,0,1,0,0,1,2,1,1,2,1,2,1,1,1,2,1,1,0,1,0,1,0,1,0,0,1,1,1,0,7,2,2,0,0,2,2,3,2,0,1,0,2,1,0,0,2,2,1,0,1,4,0,1,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27 clade; s__uncultured bacterium
OTU2162,0,0,0,0,2,3,1,0,2,5,1,1,3,2,1,2,1,2,0,1,0,0,1,1,1,1,1,1,1,3,2,0,1,1,0,3,1,0,1,0,1,0,3,0,1,2,0,1,1,1,2,1,0,2,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__SC-I-84; g__norank
OTU2163,1,0,1,2,0,0,1,0,0,3,3,2,2,1,1,0,0,2,0,1,0,0,1,1,2,2,1,1,1,1,0,0,3,0,1,3,3,2,2,0,1,1,3,2,3,1,2,1,3,2,0,2,1,1,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Phaeodactylibacter; s__uncultured bacterium
OTU2164,0,0,1,1,0,0,0,1,2,2,2,2,2,2,2,2,3,1,2,1,0,0,0,1,0,2,1,0,5,3,1,1,1,2,1,2,0,2,0,0,3,2,0,2,1,0,0,1,2,0,0,0,1,3,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__B1-7BS; g__norank; s__uncultured bacterium
OTU2165,0,0,1,0,0,0,0,0,1,5,1,1,0,0,1,5,0,1,0,2,0,0,0,0,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,6,2,6,1,5,10,4,0,0,1,0,2,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__Panacagrimonas
